ID,Zvalue
49855,5.462262706
7322,5.457374858
2785,5.448424948
51616,5.442950418
55146,5.437584465
844,5.428538992
127845,5.416173813
80309,5.411363992
594855,5.409732162
393,5.409423609
10555,5.409360547
58,5.405005295
23673,5.401522826
79873,5.400421859
93081,5.396596142
64374,5.388008858
219333,5.38358524
25907,5.378694522
3872,5.377112865
8111,5.376252212
11258,5.368433463
3067,5.367291572
51105,5.364523113
128344,5.363785935
3598,5.363752774
64420,5.360830926
1780,5.35968808
51031,5.359653906
3777,5.357238386
6001,5.355143271
64805,5.353449263
4947,5.346115398
10574,5.344321951
5447,5.342715494
5293,5.321787229
64388,5.320479702
83787,5.31632086
152189,5.313794666
3595,5.309703131
537,5.309599301
5877,5.306605521
84247,5.306098397
254863,5.302445453
7045,5.301561134
54039,5.29614105
728239,5.283759055
79012,5.282096261
